transaction_id,user_id,date,amount,merchant,category,is_known_anomaly,anomaly_type
txn_00080,user_4,2026-01-29T08:35:15,65.9,Sushi Bar,dining,False,
txn_00319,user_13,2026-02-10T15:08:48,197.78,Best Buy,shopping,False,
txn_00211,user_9,2026-02-22T08:18:38,22.47,Adobe,subscriptions,False,
txn_00496,user_20,2026-02-27T15:32:47,79.7,Whole Foods,groceries,False,
txn_00173,user_7,2026-02-06T12:14:40,81.9,Concert Tickets,entertainment,False,
txn_00454,user_19,2026-03-03T20:44:26,78.1,Internet Provider,utilities,False,
txn_00375,user_15,2026-03-08T20:37:31,11.39,Lyft,transport,False,
txn_00359,user_15,2026-03-14T13:29:41,42.88,Water Utility,utilities,False,
txn_00466,user_19,2026-01-23T13:29:14,49.22,Internet Provider,utilities,False,
txn_00154,user_7,2026-03-02T13:42:50,183.98,IKEA,shopping,False,
txn_00003,user_1,2026-01-09T08:54:14,82.74,Local Market,groceries,False,
txn_00336,user_14,2026-01-03T14:37:19,11.62,Netflix,subscriptions,False,
txn_00209,user_9,2026-03-02T09:27:06,20.03,Whole Foods,groceries,False,
txn_00074,user_3,2026-03-28T18:05:18,44.8,Local Cafe,dining,False,
txn_00495,user_20,2026-02-20T19:26:24,12.82,Metro Transit,transport,False,
txn_00452,user_19,2026-02-22T10:16:42,107.37,Best Buy,shopping,False,
txn_00205,user_9,2026-03-09T10:50:44,14.07,Adobe,subscriptions,False,
txn_00069,user_3,2026-03-27T19:57:19,17.46,Netflix,subscriptions,False,
txn_00091,user_4,2026-02-04T17:42:43,31.71,Gas Station,transport,False,
txn_00300,user_12,2026-02-26T20:22:45,99.16,Local Market,groceries,False,
txn_00034,user_2,2026-01-10T09:41:34,49.44,Uber,transport,False,
txn_00071,user_3,2026-03-12T18:47:57,21.81,Sushi Bar,dining,False,
txn_00469,user_19,2026-01-28T16:06:51,28.04,Chipotle,dining,False,
txn_00001,user_1,2026-02-03T15:07:59,13.91,Steam,entertainment,False,
txn_00012,user_1,2026-01-29T07:55:07,44.69,Chipotle,dining,False,
txn_00282,user_12,2026-01-06T18:30:16,23.67,Adobe,subscriptions,False,
txn_00023,user_1,2026-03-12T10:59:34,27.08,Sushi Bar,dining,False,
txn_00102,user_5,2026-01-10T14:06:44,112.87,Internet Provider,utilities,False,
txn_00269,user_11,2026-01-01T12:35:46,12.09,Trader Joe's,groceries,False,
txn_00484,user_20,2026-03-15T17:52:48,39.47,Local Market,groceries,False,
txn_00442,user_18,2026-02-04T08:10:27,10.37,Spotify,subscriptions,False,
txn_00291,user_12,2026-01-10T18:51:47,132.94,Best Buy,shopping,False,
txn_00085,user_4,2026-02-05T14:17:21,9.26,Metro Transit,transport,False,
txn_00246,user_10,2026-02-26T13:23:58,33.82,Lyft,transport,False,
txn_00064,user_3,2026-03-10T12:11:37,23.78,Netflix,subscriptions,False,
txn_00056,user_3,2026-02-09T13:13:43,22.98,Netflix,subscriptions,False,
txn_00230,user_10,2026-02-21T20:39:29,116.28,Trader Joe's,groceries,False,
txn_00019,user_1,2026-01-21T07:38:20,144.42,Internet Provider,utilities,False,
txn_00411,user_17,2026-02-15T11:58:56,18.08,Sushi Bar,dining,False,
txn_00210,user_9,2026-02-17T17:42:07,21.71,AMC Theaters,entertainment,False,
txn_00395,user_16,2026-03-27T19:26:26,48.22,Metro Transit,transport,False,
txn_00083,user_4,2026-03-12T21:16:48,54.35,Gas Station,transport,False,
txn_00040,user_2,2026-03-16T09:32:05,32.66,Lyft,transport,False,
txn_00456,user_19,2026-03-10T08:49:15,106.58,Electric Co,utilities,False,
txn_00047,user_2,2026-02-14T13:10:28,106.72,Local Market,groceries,False,
txn_00413,user_17,2026-01-07T12:04:45,10.57,AMC Theaters,entertainment,False,
txn_00315,user_13,2026-03-15T18:40:01,18.02,Adobe,subscriptions,False,
txn_00355,user_15,2026-03-02T14:18:41,40.78,Metro Transit,transport,False,
txn_00078,user_4,2026-03-22T19:31:25,53.33,Internet Provider,utilities,False,
txn_00398,user_16,2026-02-23T11:16:13,93.6,Water Utility,utilities,False,
txn_00105,user_5,2026-03-04T21:45:09,57.69,Local Market,groceries,False,
txn_00204,user_9,2026-02-05T17:24:38,105.97,Internet Provider,utilities,False,
txn_00381,user_16,2026-03-24T13:57:24,134.49,IKEA,shopping,False,
txn_00488,user_20,2026-01-27T14:55:45,76.39,Concert Tickets,entertainment,False,
txn_00070,user_3,2026-03-06T14:44:18,18.34,iCloud,subscriptions,False,
txn_00408,user_17,2026-03-12T13:09:12,99.5,Water Utility,utilities,False,
txn_00256,user_11,2026-03-09T19:24:09,82.81,Trader Joe's,groceries,False,
txn_00392,user_16,2026-03-28T10:42:33,38.86,Steam,entertainment,False,
txn_00312,user_13,2026-01-12T18:09:10,106.92,Internet Provider,utilities,False,
txn_00235,user_10,2026-03-24T10:16:12,23.29,AMC Theaters,entertainment,False,
txn_00473,user_19,2026-03-21T16:37:05,66.59,Pizza Place,dining,False,
txn_00324,user_13,2026-02-09T17:29:15,6.27,Gas Station,transport,False,
txn_00094,user_4,2026-01-18T15:24:20,51.55,AMC Theaters,entertainment,False,
txn_00138,user_6,2026-02-14T12:21:26,23.33,Uber,transport,False,
txn_00177,user_8,2026-02-11T10:50:34,91.87,Target,shopping,False,
txn_00337,user_14,2026-03-30T12:41:50,19.93,IKEA,shopping,False,
txn_00132,user_6,2026-01-22T14:28:07,37.69,Concert Tickets,entertainment,False,
txn_00502,user_2,2026-01-31T12:00:00,45.99,Best Buy,shopping,True,duplicate_charge
txn_00365,user_15,2026-02-01T16:48:17,38.69,Trader Joe's,groceries,False,
txn_00133,user_6,2026-03-01T14:32:34,71.26,IKEA,shopping,False,
txn_00332,user_14,2026-02-21T10:45:21,34.83,Electric Co,utilities,False,
txn_00412,user_17,2026-03-11T10:52:42,192.09,Amazon,shopping,False,
txn_00503,user_2,2026-01-31T12:00:45,45.99,Best Buy,shopping,True,duplicate_charge
txn_00350,user_14,2026-03-25T11:52:34,19.95,Spotify,subscriptions,False,
txn_00087,user_4,2026-01-20T20:21:34,54.58,IKEA,shopping,False,
txn_00076,user_4,2026-01-31T11:01:02,72.43,Target,shopping,False,
txn_00443,user_18,2026-02-05T12:16:15,21.49,Uber,transport,False,
txn_00016,user_1,2026-02-07T18:56:46,13.7,Uber,transport,False,
txn_00326,user_14,2026-03-25T21:06:27,102.06,Amazon,shopping,False,
txn_00389,user_16,2026-03-18T11:47:02,145.11,Amazon,shopping,False,
txn_00020,user_1,2026-03-04T11:15:03,22.31,Local Market,groceries,False,
txn_00325,user_13,2026-01-28T13:31:38,72.35,Electric Co,utilities,False,
txn_00335,user_14,2026-03-07T12:30:52,88.78,Internet Provider,utilities,False,
txn_00057,user_3,2026-02-01T17:47:09,34.02,IKEA,shopping,False,
txn_00339,user_14,2026-03-09T10:52:43,148.42,IKEA,shopping,False,
txn_00409,user_17,2026-02-12T16:35:41,35.35,Local Cafe,dining,False,
txn_00334,user_14,2026-03-20T17:21:32,8.25,iCloud,subscriptions,False,
txn_00182,user_8,2026-01-16T17:24:52,25.27,Metro Transit,transport,False,
txn_00228,user_10,2026-02-25T21:20:36,60.57,Whole Foods,groceries,False,
txn_00427,user_18,2026-02-20T16:53:54,42.92,Trader Joe's,groceries,False,
txn_00181,user_8,2026-03-13T08:16:34,6.81,Adobe,subscriptions,False,
txn_00026,user_2,2026-01-03T12:00:04,96.47,Internet Provider,utilities,False,
txn_00330,user_14,2026-03-29T14:23:50,44.26,Electric Co,utilities,False,
txn_00239,user_10,2026-01-20T18:19:50,8.76,Gas Station,transport,False,
txn_00245,user_10,2026-02-13T08:15:45,30.6,Target,shopping,False,
txn_00251,user_11,2026-02-20T14:35:24,50.84,Chipotle,dining,False,
txn_00418,user_17,2026-01-13T18:33:16,47.87,Electric Co,utilities,False,
txn_00118,user_5,2026-02-07T07:45:34,33.98,Pizza Place,dining,False,
txn_00043,user_2,2026-03-26T13:13:42,97.83,Water Utility,utilities,False,
txn_00322,user_13,2026-03-20T14:59:36,18.65,Lyft,transport,False,
txn_00347,user_14,2026-01-27T15:22:35,145.42,Best Buy,shopping,False,
txn_00183,user_8,2026-03-23T15:01:39,7.17,Spotify,subscriptions,False,
txn_00156,user_7,2026-02-12T08:33:58,19.03,Steam,entertainment,False,
txn_00281,user_12,2026-02-28T22:12:56,42.28,Whole Foods,groceries,False,
txn_00127,user_6,2026-02-03T12:35:04,30.02,Target,shopping,False,
txn_00449,user_18,2026-02-20T16:34:11,7.28,Spotify,subscriptions,False,
txn_00032,user_2,2026-02-13T12:12:34,87.55,AMC Theaters,entertainment,False,
txn_00114,user_5,2026-02-14T18:44:29,59.81,Metro Transit,transport,False,
txn_00149,user_6,2026-02-23T10:18:46,23.68,iCloud,subscriptions,False,
txn_00430,user_18,2026-02-14T20:04:21,20.75,Trader Joe's,groceries,False,
txn_00401,user_17,2026-03-17T16:13:55,139.22,Target,shopping,False,
txn_00058,user_3,2026-01-31T14:01:11,24.63,AMC Theaters,entertainment,False,
txn_00195,user_8,2026-03-12T13:49:09,50.22,Local Cafe,dining,False,
txn_00025,user_1,2026-02-26T10:04:21,84.18,Electric Co,utilities,False,
txn_00018,user_1,2026-02-08T10:09:23,67.51,Concert Tickets,entertainment,False,
txn_00298,user_12,2026-02-27T21:58:31,79.74,Pizza Place,dining,False,
txn_00067,user_3,2026-01-25T08:33:59,5.89,Adobe,subscriptions,False,
txn_00212,user_9,2026-02-09T11:42:30,7.07,Spotify,subscriptions,False,
txn_00404,user_17,2026-01-27T13:24:29,55.33,Metro Transit,transport,False,
txn_00095,user_4,2026-01-28T15:48:53,22.98,Gas Station,transport,False,
txn_00155,user_7,2026-03-25T09:32:37,43.66,Chipotle,dining,False,
txn_00441,user_18,2026-02-01T13:10:08,92.53,Internet Provider,utilities,False,
txn_00024,user_1,2026-03-30T17:41:23,59.33,Sushi Bar,dining,False,
txn_00226,user_10,2026-01-23T16:35:53,35.37,Local Cafe,dining,False,
txn_00433,user_18,2026-03-12T08:49:39,28.75,Gas Station,transport,False,
txn_00447,user_18,2026-03-30T13:20:18,42.49,Local Cafe,dining,False,
txn_00006,user_1,2026-03-10T13:17:59,60.29,IKEA,shopping,False,
txn_00117,user_5,2026-02-05T10:53:12,124.07,Best Buy,shopping,False,
txn_00046,user_2,2026-03-14T17:16:08,18.06,Trader Joe's,groceries,False,
txn_00017,user_1,2026-02-03T08:55:40,121.44,Internet Provider,utilities,False,
txn_00494,user_20,2026-02-01T21:53:43,59.22,Local Cafe,dining,False,
txn_00362,user_15,2026-02-02T13:36:43,49.45,Best Buy,shopping,False,
txn_00004,user_1,2026-01-13T09:23:22,20.29,Metro Transit,transport,False,
txn_00295,user_12,2026-02-27T19:08:33,12.44,Netflix,subscriptions,False,
txn_00186,user_8,2026-01-05T09:15:56,24.92,Netflix,subscriptions,False,
txn_00061,user_3,2026-03-02T13:19:52,22.37,Sushi Bar,dining,False,
txn_00111,user_5,2026-02-22T22:41:45,35.53,Lyft,transport,False,
txn_00321,user_13,2026-02-04T09:18:24,18.64,Uber,transport,False,
txn_00266,user_11,2026-02-20T11:23:14,74.88,Water Utility,utilities,False,
txn_00030,user_2,2026-01-13T15:29:55,94.74,IKEA,shopping,False,
txn_00263,user_11,2026-03-12T14:05:48,88.25,Whole Foods,groceries,False,
txn_00477,user_20,2026-03-24T13:08:11,47.95,Sushi Bar,dining,False,
txn_00027,user_2,2026-03-22T14:04:32,35.18,Whole Foods,groceries,False,
txn_00008,user_1,2026-01-05T08:13:58,38.39,Steam,entertainment,False,
txn_00458,user_19,2026-03-24T19:27:06,58.17,Metro Transit,transport,False,
txn_00109,user_5,2026-02-11T15:21:17,43.1,Pizza Place,dining,False,
txn_00038,user_2,2026-03-13T12:18:13,147.91,Target,shopping,False,
txn_00158,user_7,2026-03-02T16:44:25,97.23,Steam,entertainment,False,
txn_00471,user_19,2026-03-27T12:38:24,54.05,Concert Tickets,entertainment,False,
txn_00119,user_5,2026-01-17T16:44:08,5.91,Netflix,subscriptions,False,
txn_00115,user_5,2026-02-04T13:20:07,10.03,Netflix,subscriptions,False,
txn_00176,user_8,2026-01-05T09:58:18,73.78,Electric Co,utilities,False,
txn_00193,user_8,2026-03-24T08:50:21,125.47,Amazon,shopping,False,
txn_00273,user_11,2026-01-19T13:36:26,13.58,iCloud,subscriptions,False,
txn_00145,user_6,2026-01-02T11:29:07,78.96,Electric Co,utilities,False,
txn_00489,user_20,2026-03-20T21:13:52,94.21,Target,shopping,False,
txn_00383,user_16,2026-03-26T13:07:11,58.54,Concert Tickets,entertainment,False,
txn_00356,user_15,2026-01-08T12:34:47,18.05,Concert Tickets,entertainment,False,
txn_00278,user_12,2026-01-14T12:02:22,62.37,Steam,entertainment,False,
txn_00221,user_9,2026-03-26T20:17:13,31.71,Gas Station,transport,False,
txn_00450,user_18,2026-03-29T14:45:13,59.51,Concert Tickets,entertainment,False,
txn_00142,user_6,2026-03-08T17:48:03,17.45,Adobe,subscriptions,False,
txn_00369,user_15,2026-02-07T11:30:09,17.29,Spotify,subscriptions,False,
txn_00068,user_3,2026-03-10T13:27:04,148.09,Target,shopping,False,
txn_00361,user_15,2026-01-25T20:29:41,20.14,AMC Theaters,entertainment,False,
txn_00169,user_7,2026-02-24T10:24:54,61.27,Best Buy,shopping,False,
txn_00498,user_20,2026-03-16T20:29:40,105.58,Whole Foods,groceries,False,
txn_00379,user_16,2026-01-10T16:03:59,56.61,Whole Foods,groceries,False,
txn_00366,user_15,2026-02-12T13:41:23,16.65,Netflix,subscriptions,False,
txn_00194,user_8,2026-02-01T09:53:48,64.66,Local Cafe,dining,False,
txn_00250,user_10,2026-03-26T18:44:42,74.01,Pizza Place,dining,False,
txn_00110,user_5,2026-03-18T13:05:15,177.82,Amazon,shopping,False,
txn_00434,user_18,2026-02-07T08:17:09,32.18,AMC Theaters,entertainment,False,
txn_00146,user_6,2026-03-24T14:32:45,23.86,Concert Tickets,entertainment,False,
txn_00093,user_4,2026-01-04T09:41:27,37.55,Uber,transport,False,
txn_00153,user_7,2026-02-19T07:20:47,69.63,Sushi Bar,dining,False,
txn_00223,user_9,2026-03-17T08:14:25,33.98,Metro Transit,transport,False,
txn_00410,user_17,2026-03-29T16:29:10,10.15,Adobe,subscriptions,False,
txn_00084,user_4,2026-02-01T22:40:15,67.39,Concert Tickets,entertainment,False,
txn_00249,user_10,2026-02-19T13:05:37,10.04,Spotify,subscriptions,False,
txn_00166,user_7,2026-03-05T17:16:29,47.17,Water Utility,utilities,False,
txn_00164,user_7,2026-02-25T16:43:50,25.58,Sushi Bar,dining,False,
txn_00200,user_8,2026-02-16T16:14:39,101.24,Water Utility,utilities,False,
txn_00232,user_10,2026-02-21T19:21:14,39.44,Water Utility,utilities,False,
txn_00075,user_3,2026-03-07T09:52:48,132.09,Best Buy,shopping,False,
txn_00311,user_13,2026-03-23T13:39:34,62.93,Internet Provider,utilities,False,
txn_00455,user_19,2026-03-11T18:57:51,96.98,Local Market,groceries,False,
txn_00254,user_11,2026-01-28T13:14:08,23.95,Adobe,subscriptions,False,
txn_00120,user_5,2026-03-23T07:36:18,77.75,AMC Theaters,entertainment,False,
txn_00285,user_12,2026-02-25T15:11:31,45.88,Gas Station,transport,False,
txn_00302,user_13,2026-03-31T17:14:07,47.21,Best Buy,shopping,False,
txn_00482,user_20,2026-02-07T11:49:29,40.23,Local Market,groceries,False,
txn_00357,user_15,2026-01-05T09:53:25,38.09,Local Cafe,dining,False,
txn_00403,user_17,2026-01-16T12:44:38,199.92,IKEA,shopping,False,
txn_00229,user_10,2026-02-24T14:18:07,78.53,Internet Provider,utilities,False,
txn_00262,user_11,2026-01-18T17:55:23,32.5,Concert Tickets,entertainment,False,
txn_00238,user_10,2026-03-14T21:40:20,132.53,Best Buy,shopping,False,
txn_00438,user_18,2026-03-13T08:22:35,78.97,Electric Co,utilities,False,
txn_00475,user_19,2026-02-17T13:38:08,41.15,IKEA,shopping,False,
txn_00037,user_2,2026-02-19T13:27:44,23.53,Adobe,subscriptions,False,
txn_00197,user_8,2026-01-23T10:00:22,82.72,Whole Foods,groceries,False,
txn_00140,user_6,2026-01-12T16:55:32,10.05,Netflix,subscriptions,False,
txn_00368,user_15,2026-02-21T20:07:40,107.97,Best Buy,shopping,False,
txn_00248,user_10,2026-03-22T09:35:43,76.91,Best Buy,shopping,False,
txn_00288,user_12,2026-01-14T14:28:38,46.07,Local Market,groceries,False,
txn_00378,user_16,2026-01-03T19:13:37,19.0,Uber,transport,False,
txn_00060,user_3,2026-02-04T14:55:02,64.69,Chipotle,dining,False,
txn_00112,user_5,2026-03-04T16:14:25,48.61,Uber,transport,False,
txn_00090,user_4,2026-02-08T14:31:14,45.1,Steam,entertainment,False,
txn_00267,user_11,2026-01-04T12:08:02,23.62,iCloud,subscriptions,False,
txn_00007,user_1,2026-03-23T07:14:52,118.04,Best Buy,shopping,False,
txn_00457,user_19,2026-03-26T16:41:43,80.68,Amazon,shopping,False,
txn_00348,user_14,2026-02-05T14:52:22,7.44,Adobe,subscriptions,False,
txn_00341,user_14,2026-02-10T14:32:49,13.33,Lyft,transport,False,
txn_00159,user_7,2026-03-25T12:40:45,103.69,Costco,groceries,False,
txn_00151,user_7,2026-02-27T15:48:34,88.12,Water Utility,utilities,False,
txn_00178,user_8,2026-02-16T10:16:58,90.22,Water Utility,utilities,False,
txn_00397,user_16,2026-02-08T08:35:26,73.68,Steam,entertainment,False,
txn_00185,user_8,2026-03-01T09:08:02,70.91,IKEA,shopping,False,
txn_00318,user_13,2026-02-23T18:09:20,30.54,Metro Transit,transport,False,
txn_00011,user_1,2026-03-10T16:25:23,19.94,Adobe,subscriptions,False,
txn_00384,user_16,2026-03-10T08:48:01,34.09,Lyft,transport,False,
txn_00104,user_5,2026-02-24T07:54:26,83.56,Best Buy,shopping,False,
txn_00082,user_4,2026-02-26T20:53:58,127.8,Internet Provider,utilities,False,
txn_00039,user_2,2026-01-08T14:03:03,118.29,Electric Co,utilities,False,
txn_00317,user_13,2026-03-29T09:10:28,21.36,Uber,transport,False,
txn_00168,user_7,2026-01-21T16:19:40,58.59,Local Market,groceries,False,
txn_00474,user_19,2026-03-28T11:07:11,30.55,Local Cafe,dining,False,
txn_00299,user_12,2026-01-26T17:11:57,24.93,Whole Foods,groceries,False,
txn_00405,user_17,2026-03-10T14:32:56,81.46,Best Buy,shopping,False,
txn_00199,user_8,2026-02-23T15:28:49,43.64,Electric Co,utilities,False,
txn_00377,user_16,2026-02-23T18:51:19,36.02,Gas Station,transport,False,
txn_00147,user_6,2026-02-04T13:29:35,50.91,Gas Station,transport,False,
txn_00396,user_16,2026-01-20T11:54:14,12.53,Adobe,subscriptions,False,
txn_00148,user_6,2026-01-19T11:17:49,15.48,Lyft,transport,False,
txn_00483,user_20,2026-03-14T17:32:07,157.92,IKEA,shopping,False,
txn_00290,user_12,2026-02-15T20:50:03,149.78,Water Utility,utilities,False,
txn_00124,user_5,2026-01-16T14:49:33,121.73,Internet Provider,utilities,False,
txn_00372,user_15,2026-03-29T17:28:33,63.62,AMC Theaters,entertainment,False,
txn_00097,user_4,2026-01-07T08:48:01,9.48,Netflix,subscriptions,False,
txn_00144,user_6,2026-03-04T12:19:35,13.18,Trader Joe's,groceries,False,
txn_00240,user_10,2026-02-05T09:19:29,36.74,Internet Provider,utilities,False,
txn_00276,user_12,2026-03-02T14:47:01,79.92,Local Market,groceries,False,
txn_00098,user_4,2026-02-01T14:08:30,68.42,Local Cafe,dining,False,
txn_00353,user_15,2026-01-13T10:43:49,23.17,Gas Station,transport,False,
txn_00123,user_5,2026-03-22T16:05:15,24.92,Target,shopping,False,
txn_00184,user_8,2026-03-13T18:04:40,23.31,Spotify,subscriptions,False,
txn_00203,user_9,2026-02-26T11:04:08,108.92,Local Market,groceries,False,
txn_00247,user_10,2026-02-06T18:38:03,27.48,Metro Transit,transport,False,
txn_00308,user_13,2026-03-12T15:32:58,123.74,Target,shopping,False,
txn_00423,user_17,2026-01-11T18:54:06,51.49,Metro Transit,transport,False,
txn_00354,user_15,2026-01-18T15:41:59,116.1,Trader Joe's,groceries,False,
txn_00303,user_13,2026-01-26T09:23:35,22.5,Steam,entertainment,False,
txn_00399,user_16,2026-02-12T13:05:34,29.63,IKEA,shopping,False,
txn_00287,user_12,2026-02-24T18:18:20,57.37,Trader Joe's,groceries,False,
txn_00126,user_6,2026-03-21T13:40:13,77.06,Whole Foods,groceries,False,
txn_00305,user_13,2026-01-09T17:26:49,12.96,Adobe,subscriptions,False,
txn_00224,user_9,2026-03-18T13:49:08,10.85,Local Market,groceries,False,
txn_00422,user_17,2026-02-18T09:44:10,87.12,Internet Provider,utilities,False,
txn_00220,user_9,2026-01-20T09:17:28,62.32,Chipotle,dining,False,
txn_00130,user_6,2026-02-03T13:27:07,81.21,Concert Tickets,entertainment,False,
txn_00424,user_17,2026-03-09T13:02:59,35.27,Costco,groceries,False,
txn_00292,user_12,2026-03-28T19:43:50,76.6,Local Cafe,dining,False,
txn_00492,user_20,2026-03-07T21:50:26,165.81,Target,shopping,False,
txn_00394,user_16,2026-01-23T08:22:41,140.57,IKEA,shopping,False,
txn_00479,user_20,2026-03-04T17:32:41,22.05,Sushi Bar,dining,False,
txn_00358,user_15,2026-03-05T09:00:19,75.44,Pizza Place,dining,False,
txn_00297,user_12,2026-01-24T14:49:16,33.48,Uber,transport,False,
txn_00370,user_15,2026-02-28T15:44:35,197.94,Best Buy,shopping,False,
txn_00343,user_14,2026-01-27T15:33:24,69.01,Internet Provider,utilities,False,
txn_00113,user_5,2026-03-30T22:35:33,30.05,Pizza Place,dining,False,
txn_00180,user_8,2026-01-19T19:43:25,96.99,Concert Tickets,entertainment,False,
txn_00419,user_17,2026-02-15T14:25:29,20.9,Netflix,subscriptions,False,
txn_00342,user_14,2026-03-20T19:08:33,53.0,Uber,transport,False,
txn_00333,user_14,2026-03-02T16:08:20,84.84,Internet Provider,utilities,False,
txn_00486,user_20,2026-03-25T16:16:22,32.28,AMC Theaters,entertainment,False,
txn_00363,user_15,2026-01-25T15:32:20,51.99,Sushi Bar,dining,False,
txn_00234,user_10,2026-03-07T13:46:52,73.23,Pizza Place,dining,False,
txn_00472,user_19,2026-03-20T12:54:29,37.29,Metro Transit,transport,False,
txn_00165,user_7,2026-01-24T16:43:15,20.6,Sushi Bar,dining,False,
txn_00137,user_6,2026-02-26T17:05:30,8.63,Adobe,subscriptions,False,
txn_00198,user_8,2026-01-31T12:03:08,68.85,Electric Co,utilities,False,
txn_00259,user_11,2026-02-27T17:57:53,46.45,Pizza Place,dining,False,
txn_00233,user_10,2026-02-12T18:07:33,25.13,Concert Tickets,entertainment,False,
txn_00116,user_5,2026-03-10T13:47:30,72.11,AMC Theaters,entertainment,False,
txn_00121,user_5,2026-03-02T08:16:55,29.23,Lyft,transport,False,
txn_00352,user_15,2026-03-17T19:14:03,25.46,Local Cafe,dining,False,
txn_00225,user_9,2026-02-02T22:47:27,11.56,Netflix,subscriptions,False,
txn_00406,user_17,2026-03-05T14:58:13,10.42,Gas Station,transport,False,
txn_00437,user_18,2026-02-04T13:28:35,24.58,Trader Joe's,groceries,False,
txn_00128,user_6,2026-01-21T14:02:14,54.94,Costco,groceries,False,
txn_00286,user_12,2026-03-30T22:05:46,25.2,Metro Transit,transport,False,
txn_00415,user_17,2026-03-23T16:01:00,187.77,IKEA,shopping,False,
txn_00108,user_5,2026-02-27T17:01:31,62.03,Sushi Bar,dining,False,
txn_00374,user_15,2026-03-06T11:20:54,49.23,Local Cafe,dining,False,
txn_00371,user_15,2026-03-02T12:48:15,58.38,Concert Tickets,entertainment,False,
txn_00134,user_6,2026-03-05T16:47:20,9.42,Uber,transport,False,
txn_00400,user_16,2026-01-25T09:12:51,39.53,Whole Foods,groceries,False,
txn_00045,user_2,2026-02-28T09:29:39,23.58,Netflix,subscriptions,False,
txn_00465,user_19,2026-03-24T18:15:33,84.49,Trader Joe's,groceries,False,
txn_00066,user_3,2026-02-10T14:57:36,38.34,Uber,transport,False,
txn_00284,user_12,2026-01-07T11:51:23,69.02,Steam,entertainment,False,
txn_00086,user_4,2026-02-10T14:24:44,39.67,Electric Co,utilities,False,
txn_00243,user_10,2026-01-06T13:38:30,55.0,Lyft,transport,False,
txn_00187,user_8,2026-03-10T18:47:44,35.98,Pizza Place,dining,False,
txn_00387,user_16,2026-01-15T17:49:59,99.04,Costco,groceries,False,
txn_00160,user_7,2026-03-04T08:15:40,58.69,Concert Tickets,entertainment,False,
txn_00013,user_1,2026-01-20T16:04:24,44.6,IKEA,shopping,False,
txn_00036,user_2,2026-03-03T11:24:00,70.25,Chipotle,dining,False,
txn_00029,user_2,2026-03-15T15:12:06,86.72,Water Utility,utilities,False,
txn_00171,user_7,2026-02-07T11:00:36,117.57,Costco,groceries,False,
txn_00143,user_6,2026-01-27T17:56:44,15.98,iCloud,subscriptions,False,
txn_00417,user_17,2026-03-10T11:06:58,5.34,Adobe,subscriptions,False,
txn_00425,user_17,2026-01-10T11:59:54,186.23,Amazon,shopping,False,
txn_00222,user_9,2026-03-07T16:43:43,47.97,Whole Foods,groceries,False,
txn_00096,user_4,2026-02-23T07:47:34,21.7,Adobe,subscriptions,False,
txn_00052,user_3,2026-01-07T08:00:21,79.77,Local Market,groceries,False,
txn_00241,user_10,2026-02-27T09:41:55,16.26,Local Market,groceries,False,
txn_00376,user_16,2026-01-12T15:08:32,83.46,Electric Co,utilities,False,
txn_00382,user_16,2026-02-27T14:05:43,92.54,Steam,entertainment,False,
txn_00179,user_8,2026-03-03T09:29:04,36.56,Steam,entertainment,False,
